feature,importance
cat__item_Potatoes,0.3408078144451311
cat__item_Cassava,0.11574455619903519
cat__item_Sweet potatoes,0.10929154166753903
cat__area_India,0.062447437376141134
num__pesticides_tonnes,0.06122960218886035
num__unnamed:_0,0.04307533727641289
num__average_rain_fall_mm_per_year,0.039438127360363034
cat__item_Yams,0.03540736039275575
num__avg_temp,0.031296959971074984
cat__area_Japan,0.029294355690841867
cat__item_Plantains and others,0.016670988189715324
cat__area_Australia,0.016547323820170594
num__year,0.015709677995706474
cat__area_Mexico,0.00965574986265079
cat__area_Ecuador,0.005695884546769881
